municipio,numero_registros
SABOYA,7
PUEBLORRICO,7
SAN DIEGO,7
SURATA,7
PUERTO LLERAS,7
TORO,7
PUERTO PARRA,7
ENCINO,7
AMBALEMA,7
PIAMONTE,7
CAMPOHERMOSO,7
HELICONIA,7
CABRERA,7
LA BELLEZA,7
VILLA RICA,7
VIANI,7
UNION  PANAMERICANA,7
UNGUIA,7
GUARANDA,7
YALI,7
EL CAIRO,7
SAN CAYETANO,6
BARRANCO MINAS,6
GIRALDO,6
BAJO BAUDO (PIZARRO),6
OBANDO,6
MUTISCUA,6
PUERRES,6
(FUERA DEL PAIS),6
SUAN,6
CALDONO,6
LANDAZURI,6
SANTA ROSALIA,6
LOS CORDOBAS,6
MANTA,6
CERRITO,6
ANZA,6
JERUSALEN,6
MAPIRIPAN,6
FOSCA,6
PAEZ,6
PAJARITO,6
POLICARPA,6
BECERRIL,6
GAMEZA,6
MOTAVITA,6
CHARTA,6
CHINAVITA,6
HATO COROZAL,6
BOAVITA,6
GUAPOTA,6
AGRADO,5
CALAMAR,5
SILOS,5
BRICENO,5
SIMITI,5
LA PALMA,5
JORDAN,5
SUSACON,5
AGUADA,5
PUERTO LIBERTADOR,5
TUCHIN,5
FLORESTA,5
TIMBIQUI,5
POTOSI,5
QUIPAMA,5
ASTREA,5
PALOCABILDO,5
PIVIJAY,5
VALLE DE SAN JUAN,5
PELAYA,5
SAN SEBASTIAN BUE,5
CANTAGALLO,5
SAN MATEO,5
SANTIAGO,5
BURITICA,5
MARIA LA BAJA,5
CERINZA,5
BERBEO,5
GUACHUCAL,5
CARAMANTA,5
GUAYATA,5
BOSA,5
CIENEGA,5
CORINTO,5
CONTRATACION,5
SALADOBLANCO,5
RAGONVALIA,5
SAN EDUARDO,5
NECHI,4
CONFINES,4
VALDIVIA,4
SORA,4
VIRACACHA,4
LA CELIA,4
LA CHORRERA,4
LA CAPILLA,4
BRICEÑO,4
LA UVITA,4
TALAIGUA NUEVO,4
TAMARA,4
CALOTO,4
URUMITA,4
SAN JOSE LA MONTAÑA,4
OCAMONTE,4
COYAIMA,4
GUACAMAYAS,4
CHIQUIZA,4
FUNES,4
ARBOLEDA (BERRUECOS),4
PUPIALES,4
MORROA,4
GAMARRA,4
ELIAS,4
